13.11.2024 11:10:04
    class_weight  fit_intercept            C  accuracy    recall
0           None           True     0.000001  0.650014  0.096240
1           None           True     0.000002  0.654703  0.114906
2           None           True     0.000002  0.656277  0.138833
3           None           True     0.000004  0.659535  0.162753
4           None           True     0.000005  0.663053  0.191474
5           None           True     0.000008  0.668265  0.221349
6           None           True     0.000013  0.669172  0.234018
7           None           True     0.000019  0.669824  0.243354
8           None           True     0.000029  0.670997  0.248966
9           None           True     0.000045  0.674512  0.260545
10          None           True     0.000069  0.676987  0.270622
11          None           True     0.000105  0.679851  0.281076
12          None           True     0.000160  0.680498  0.290028
13          None           True     0.000244  0.679846  0.301230
14          None           True     0.000373  0.682049  0.312781
15          None           True     0.000569  0.683740  0.322460
16          None           True     0.000869  0.686605  0.334396
17          None           True     0.001326  0.689211  0.341502
18          None           True     0.002024  0.694287  0.354179
19          None           True     0.003089  0.701186  0.369119
20          None           True     0.004715  0.705355  0.379958
21          None           True     0.007197  0.711738  0.391558
22          None           True     0.010985  0.726582  0.421048
23          None           True     0.016768  0.738954  0.451265
24          None           True     0.025595  0.748338  0.474053
25          None           True     0.039069  0.753155  0.488232
26          None           True     0.059636  0.759279  0.505059
27          None           True     0.091030  0.764752  0.526003
28          None           True     0.138950  0.765009  0.537540
29          None           True     0.212095  0.768781  0.548693
30          None           True     0.323746  0.770467  0.554619
31          None           True     0.494171  0.770986  0.557603
32          None           True     0.754312  0.770597  0.556855
33          None           True     1.151395  0.771249  0.558735
34          None           True     1.757511  0.770857  0.559853
35          None           True     2.682696  0.770727  0.559476
36          None           True     4.094915  0.770466  0.559853
37          None           True     6.250552  0.769814  0.559106
38          None           True     9.540955  0.770075  0.559483
39          None           True    14.563485  0.769947  0.559490
40          None           True    22.229965  0.770206  0.559860
41          None           True    33.932218  0.769947  0.559483
42          None           True    51.794747  0.769947  0.559860
43          None           True    79.060432  0.770336  0.560231
44          None           True   120.679264  0.769947  0.559113
45          None           True   184.206997  0.770076  0.560231
46          None           True   281.176870  0.770076  0.559860
47          None           True   429.193426  0.770076  0.559483
48          None           True   655.128557  0.770467  0.560231
49          None           True  1000.000000  0.770466  0.559853
50          None          False     0.000001  0.650014  0.096240
51          None          False     0.000002  0.654703  0.114906
52          None          False     0.000002  0.656147  0.138463
53          None          False     0.000004  0.659404  0.162753
54          None          False     0.000005  0.662923  0.191104
