10.11.2024 21:39:49
Scoring: accuracy
Best score: 0.7
Best params: OrderedDict({'model__alpha': 99.99392915829412, 'model__fit_intercept': False})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
10           99.993929                       False         0.700000        0.004000                1
15           85.931902                       False         0.700000        0.004000                1
11           85.022548                       False         0.700000        0.004000                1
26           87.809708                       False         0.700000        0.004000                1
23           93.669491                       False         0.700000        0.004000                1
19          100.000000                       False         0.700000        0.004000                1
17           91.716813                       False         0.700000        0.004000                1
16           75.876585                       False         0.700000        0.004000                1
28           87.942141                       False         0.700000        0.004000                1
25           79.454865                       False         0.700000        0.004000                1
43           87.443182                       False         0.700000        0.004000                1
45           98.824696                       False         0.700000        0.004000                1
41           95.606057                       False         0.700000        0.004000                1
34           82.235508                       False         0.700000        0.004000                1
33           77.469771                       False         0.700000        0.004000                1
32           97.473210                       False         0.700000        0.004000                1
48           76.805889                       False         0.700000        0.004000                1
42           89.860719                       False         0.700000        0.004000                1
18           70.942566                       False         0.698667        0.005333               19
22           60.910284                       False         0.698667        0.005333               19
7            45.319568                       False         0.697333        0.006667               21
0            41.143727                       False         0.697333        0.006667               21
39           45.893626                       False         0.697333        0.006667               21
44           53.359656                       False         0.697333        0.006667               21
30           53.860407                       False         0.697333        0.006667               21
4            30.422952                       False         0.696000        0.008000               26
2            30.423290                       False         0.696000        0.008000               26
14           30.989382                       False         0.696000        0.008000               26
27           19.003385                       False         0.696000        0.008000               26
40           20.076813                       False         0.696000        0.008000               26
12            0.007043                       False         0.694667        0.009333               31
24           13.280916                       False         0.694667        0.009333               31
49           16.478873                       False         0.694667        0.009333               31
36            5.818221                       False         0.694667        0.009333               31
3            87.288918                        True         0.690667        0.005333               35
5            84.131399                        True         0.690667        0.005333               35
1            39.982211                        True         0.690667        0.005333               35
13           99.988238                        True         0.690667        0.005333               35
21           62.514982                        True         0.690667        0.005333               35
29           63.429870                        True         0.690667        0.005333               35
6            39.105381                        True         0.690667        0.005333               35
47           69.257000                        True         0.690667        0.005333               35
46           63.436483                        True         0.690667        0.005333               35
31           51.282514                        True         0.690667        0.005333               35
35           74.204458                        True         0.690667        0.005333               35
37           29.671141                        True         0.689333        0.004000               46
8            21.834258                        True         0.689333        0.004000               46
9            13.652458                        True         0.689333        0.004000               46
20            0.020307                        True         0.688000        0.005333               49
38            6.340816                        True         0.688000        0.005333               49


Scoring: f1_macro
Best score: 0.685296768005928
Best params: OrderedDict({'model__alpha': 99.99748908351353, 'model__fit_intercept': False})
CV results:
    param_model__alpha  param_model__fit_intercept  mean_test_score  std_test_score  rank_test_score
10           99.997489                       False         0.685297        0.003473                1
11           84.611494                       False         0.685297        0.003473                1
27           96.662160                       False         0.685297        0.003473                1
28           88.089607                       False         0.685297        0.003473                1
30           86.529760                       False         0.685297        0.003473                1
29           96.975515                       False         0.685297        0.003473                1
22           92.423753                       False         0.685297        0.003473                1
17          100.000000                       False         0.685297        0.003473                1
25           92.402988                       False         0.685297        0.003473                1
26           87.809708                       False         0.685297        0.003473                1
43           87.443182                       False         0.685297        0.003473                1
45           84.745185                       False         0.685297        0.003473                1
41           90.235695                       False         0.685297        0.003473                1
34           85.898373                       False         0.685297        0.003473                1
33           98.407898                       False         0.685297        0.003473                1
32           94.611071                       False         0.685297        0.003473                1
48           94.587561                       False         0.685297        0.003473                1
42           83.319594                       False         0.685297        0.003473                1
15           66.805027                       False         0.684092        0.004677               19
18           70.942566                       False         0.684092        0.004677               19
31           56.433017                       False         0.682991        0.005779               21
39           45.893626                       False         0.682797        0.005972               22
38           45.472466                       False         0.682797        0.005972               22
44           53.359656                       False         0.682797        0.005972               22
7            45.319568                       False         0.682797        0.005972               22
0            41.143727                       False         0.682797        0.005972               22
2            30.423290                       False         0.681420        0.007349               27
14           30.989382                       False         0.681420        0.007349               27
4            30.422952                       False         0.681420        0.007349               27
40           20.076813                       False         0.681200        0.007129               30
19            1.487042                       False         0.680274        0.008054               31
20           15.350234                       False         0.680274        0.008054               31
49           16.478873                       False         0.680274        0.008054               31
35            3.809399                       False         0.680274        0.008054               31
12            0.007043                       False         0.680274        0.008054               31
3            87.288918                        True         0.672290        0.006435               36
47           69.257000                        True         0.672290        0.006435               36
46           63.436483                        True         0.672290        0.006435               36
24           63.391261                        True         0.672290        0.006435               36
23           62.210886                        True         0.672290        0.006435               36
1            39.982211                        True         0.672290        0.006435               36
5            84.131399                        True         0.672290        0.006435               36
36           74.391759                        True         0.672290        0.006435               36
37           93.026201                        True         0.672290        0.006435               36
6            39.105381                        True         0.672290        0.006435               36
13           99.988238                        True         0.672290        0.006435               36
8            21.834258                        True         0.670836        0.004981               47
9            13.652458                        True         0.670836        0.004981               47
21           26.427940                        True         0.670836        0.004981               47
16            0.004829                        True         0.669752        0.006065               50


